platform,software,review,country
Facebook,Taxfix,"Unfortunately, I had deposited the wrong financial office through a move.
After several inquiries and requests for answers, I still haven't heard anything.
Just filed a new tax return with a different provider.
Too bad I haven't heard anything about service until today.",Germany
Facebook,Taxfix,"Sinnloses Gendergestammel! 
Wer mit der deutschen Sprache nicht korrekt umgehen kann, wird ganz sicher auch nicht verantwortungsvoll mit dem Steuerrecht umgehen. Für mich ein absolutes NoGo!",Germany
Facebook,Taxfix,"Sistem generated emails. I sent 10 Emails and the answer was the same, nobody explained what to do! Disappointing!
",Germany
Facebook,Taxfix,"Scheint wohl bald dicht zu machen. Support antwortet selbst nach einigen Anfragen und Monate langem warten nicht. Steuererklärungen werden komplett falsch gemacht, Telefon Support gibt es nicht.... Bloß die Finger davon lassen!
",Germany
Facebook,Taxfix,"They locked me out of my account by revoking login with AppleID, then support is not answering my repeated requests. However, Taxfix did not forget to charge my bank account, but after taking my money, they ghosted me and now I don't know how to access the data they submitted to Finanzamt on my behalf (hello GDPR). 
Long story short: I do not recommend Taxfix, there are a dozen of other tools to do your Steuererklärung.",Germany
Facebook,Taxfix,"Jahrelang die Steuererklärung mit Taxfix gemacht .. mit der App ging es schnell und unkompliziert. Nachdem Update ist die App extrem langsam geworden! Ergebnis für 2023 .. Ich soll 7,5k an Steuern nachzahlen, obwohl sich meine steuerlichen Daten nur minimal geändert haben! Ich soll wohl den kostenpflichtigen Support in Anspruch nehmen.. alles klar, ich mache meine Steuererklärung jetzt woanders und erhalte wieder meine übliche RÜCKZAHLUNG!
",Germany
Facebook,Taxfix,"Habe drei Jahre in Folge meine Steuererklärung mit Taxfix gemacht und bisher keine Probleme. Nach dem Update ist jedoch alles anders, ich kann zur Identitätsbestätigung kein Dokument mehr hochladen und bekomme seit 7 Tagen keine Hilfe - weder über den Kundensupport, noch über Facebook, noch telefonisch, da die Rufnummer außer Betrieb ist. Keine Ahnung, was da schief läuft, aber so verprellt man sich erfolgreich langjährige Kunden. Schade!
Nachtrag: Über's Handy hat es jetzt doch noch geklappt, allerdings wurde ich damit völlig alleine gelassen.",Germany
Facebook,Taxfix,"mache seit 5 Jahren meine Steuererklärung mit Taxfix. Jedes Jahr hat die vorausgesagt Rückzahlung gestimmt. 
habe gerade die Steuererklärung für '23 abgeschickt und bin gespannt ob die voraussichtliche Erstattung diesmal auch stimmt. Wenn ja wäre es der Wahnsinn",Germany
Facebook,Taxfix,"Ich habe 02/2023 meine Daten eingegeben u warte bis Heute 06/2023 auf das Geld vom Finanzamt, hätte ich das gewußt wäre ich direkt hingegangen ausrechnen lassen oder zur LoHi gegangen, aber Hauptsache Werbung machen im Fernsehen, schnelle einfache Hilfe, was verstehen sie darunter? Sagen sie doch gleich wie lange der Mist dauert u was wir an ihre Firma abdrücken dürfen, sowie ich manche Komentare lese bekommt der eine oder andere nichts vom Finanzamt sowie sie das ausgerechnet haben sondern müssen bezahlen. Was läuft hier bitte falsch? Wenn man sie per Nachricht hier bei Facebook anschreibt kommt keine Reaktion, anscheinend wie beim Amt um eine gewisse Zeit niemand erreichbar. Ich werde ihre Seite auf keinen Fall weiter empfehlen, sauhaufen.",Germany
Facebook,Taxfix,"Super einfach, keine halbe Stunde und zack war es fertig ✅",Germany
Facebook,Taxfix,Anschreiben an den Support seit 14 Tagen keine Antwort bekommen.,Germany
Facebook,Taxfix,"Vernünftige steuererklärung machen bzw keine Sachen versprechen die so oder so nicht eingehalten werden.. zum Beispiel: 
Die 50% Sofort-Auszahlung.
Absoluter Blödsinn..
Man bekommt auch keinerlei Antwort von euch auch wenn ich meine Steuer 2022 von euch machen lassen wollte mach ich das lieber selbst.. wer zu erst kommt... 
Wie kann man so ein Unternehm an die Wand fahren.. ganz miese Nummer",Germany
Facebook,Taxfix,"Ich war immer sehr zufrieden mit Taxfix, ich hatte die letzten drei Jahre keinerlei Probleme.
Nun habe ich vor mehr als zwei Wochen die Erklärung in der App bzw. am PC ausgefüllt und sie wird seitdem “automatisch überprüft “, Bearbeitungszeit laut Taxfix 2-3 Tage. 
Auf meine Nachfrage per Mail - eine Telefon-Hotline scheint es nicht zu geben -, kam eine automatische Antwortmail ohne konkreten Hinweis, wann denn meine Steuererklärung endlich übermittelt wird. 
Ich bin ziemlich enttäuscht und würde aus diesem Grund Taxfix nicht (mehr) empfehlen.",Germany
Facebook,Taxfix,"Gibt deutlich bessere Möglichkeiten, die kostenlos sind
",Germany
Facebook,Taxfix,50 % Sofort Erstattung ist nur ein Werbe Versprechen..... Leider,Germany
Facebook,Taxfix,"einmal und nie wieder.
laut taxfix Berechnung, sollten etwas über 200 € zurückgezahlt werden.
laut dem darauffolgenden steuerbescheid, darf ich nun aber über 400 € nachzahlen.
Berechnung nach bestem Wissen und Gewissen hin oder her, eine Differenz von über 600 €. darf nicht passieren.
von mir definitiv keine Empfehlung.
das ist mir mit einem anderen steuerprogramm noch nie passiert. da ist die Berechnung nicht mal um ein paar Cent abgewichen.",Germany
Facebook,Taxfix,Nein bis heute nichts erhalten Dauert ewig lang von Wegen am nächsten Tag die Hälfte ihr solltet echt nicht solche Werbung schalten ! Ich schau mich sicher nach was anderem um ! mfg,Germany
Facebook,Taxfix,"Ich war offen und dachte mir ich probiere Taxfix mal aus...
Es ist kinderleicht aufgebaut man wird alles abgefragt. Easy dachte ich mir.
Mir wurde ausgerechnet, dass ich angeblich 90 Euro zurück bekommen würde. Tut mir leid, aber da mache ich meine Steuer lieber in Papierform und bekomme meine 700 zurück.",Germany
Facebook,Taxfix,"ich kann taxfix nur empfehlen...
",Germany
Facebook,Taxfix,"Die schätzen 900 Euro Rückerstattung, ich krieg nichts vom Finanzamt. Ich schreibe dem Support und die schicken mir mehrfach irgendwelche unnötigen Copy Paste Antworten, die null weiterbringen. Ich wi",Germany
Facebook,Taxfix,"Der Betrag stimmt nie im Leben… Nimmt ihr mehr als die Hälfte von dem Steuergeld oder was macht ihr ? Das erste mal Taxfix genutzt und enttäuscht wurden, wie viele andere in den Bewertungen. Erstes mal und nie wieder, kann ich nicht empfehlen.",Germany
Facebook,Taxfix,"Ich fühle mich dezent veräppelt. 
Ich habe so wie immer meine Steuer über Taxfix gemacht. Dieses Jahr habe ich zum ersten Mal eine Nachricht bekommen, dass ich Dinge überarbeiten muss. Habe mir die besagten Zeilen nochmals angeschaut und festgestellt, dass alles korrekt war. Ergo habe ich nichts verändert und meine Bescheide unverändert nochmals übersandt. Jetzt wurden aber plötzlich aus anfänglich berechneten 1212,69€, obwohl nichts verändert wurde, 727,75€ neu berechnet. Wie kann das bitte sein?! - Nunja, jetzt bleibt nur noch warten und sehen. Finde ich persönlich nur äußerst fragwürdig. Aus diesem Grund werde ich mich für meine nächste Steuer auch anderweitig umsehen und das Programm nicht mehr unterstützen.
Meines Erachtens einfach nur sehr unprofessionell.",Germany
Facebook,Taxfix,"Katastrophe in der Handhabung. Warum muß ich mich danach noch extra bei Elster registrieren lassen? Um mich dann noch einmal bei Taxfix zu legitimieren? Steuererklärung im Februar gemacht und noch keinen Bescheid erhalten. Nie wieder!
",Germany
Facebook,Taxfix,"Taxfix Deutschland Ich musste mich registrieren. Wenn ihr das nicht mal wisst, tut es mir leid. Ums Geld tut es mir eh leid. Es ging um die Berechtigung auf einen Zugriff. Ich hoffe nur, dass hier mal langsam was passiert. Euren Support benötige ich nicht. Der meldet sich eh nicht zurück. Habe ich letztes Jahr schon mal angefragt. Danke für nix.",Germany
Facebook,Taxfix,Mega einfaches Programm! Schnelle Bearbeitung und fast genaue Berechnung der Erstattung oder Nachzahlung! Definitiv weiterzuempfehlen !!!!!! Love it,Germany
Facebook,Taxfix,"Absolut nicht zu empfehlen. Mir wurde gesagt, dass das Finanzamt mir etwa 200 Euro erstatten würde, stattdessen erhielt ich heute die Bestätigung, dass ich mehr als 400 Euro an das Finanzamt zahlen muss",Germany
Facebook,Taxfix,"Super zufrieden 👍
Sehr schnell nach 2 Wochen war die Erstattung drauf 👍
",Germany
Facebook,Taxfix,"Sehr Unkompliziert. Jedoch von vorab berechneten 1560€ waren es in Wirklichkeit nur 168€. So wenig wie noch nie in 38 Jahren Berufsleben
",Germany
Facebook,Taxfix,"Ich persönlich habe sehr positive Erfahrungen gemacht und werde meine Steuern nur noch mit Taxfix machen. Für mich schnell und unkompliziert- meine Fälle sind aber auch einfach gestrickt. 
Hab sogar etwas mehr erhalten als von Taxfix errechnet 👍🏻
",Germany
Facebook,Zasta,The auto-fill feature for my previous returns saved a lot of hassle. The software was glitchy and crashed twice during my filing process. (Unique ID: e22c4be3-c2f5-4fbe-b75d-b3320381c9d9),Germany
Facebook,TurboTax,"I love how user-friendly the interface is, and the process was seamless. The help articles were outdated and didn't match the current interface. (Unique ID: 35a37d05-d1a1-456a-af7e-2ca9838bc90f)",USA
Facebook,Liberty Accounts,"It handled my freelance income quite well, making deductions a breeze. There were too many upsell pop-ups, which was annoying. (Unique ID: e60138e4-6aca-4fe1-a8b1-18c14f3196c3)",United Kingdom
Facebook,TaxScouts,"The pricing is reasonable for the amount of features offered, and it was worth it. The interface was not intuitive, and it took me a while to figure out where everything was. (Unique ID: 579e4a0f-3683-4fe0-ba04-7f94ed4d4813)",United Kingdom
Facebook,Xero Limited,"It integrates very well with my bookkeeping software, saving me a lot of time. The help articles were outdated and didn't match the current interface. (Unique ID: 5c70cce4-0d93-48b6-970f-abbcea3136fa)",United Kingdom
Facebook,Capium,"The error-checking feature caught a mistake I made, which saved me money. The interface was not intuitive, and it took me a while to figure out where everything was. (Unique ID: 8bb5a98f-479a-40fd-8d7d-aa93913629c1)",United Kingdom
Facebook,BTCSoftware Limited,"Great experience overall, would definitely recommend this to anyone filing taxes! I found the pricing a bit too steep for what it offered. (Unique ID: b7339957-6a32-4eff-bd32-15827c102888)",United Kingdom
Facebook,TaxAct,"The error-checking feature caught a mistake I made, which saved me money. I had issues with the mobile app not syncing properly with my desktop progress. (Unique ID: ab71bd43-8651-4e2f-b985-60b56808f695)",USA
Facebook,SteuerGo,"The support team was really helpful when I had questions about deductions. It didn't support rental income reporting very well, and I had to manually add entries. (Unique ID: 9bc56d59-f9af-45c8-bd98-d4dbdb2eecc1)",Germany
Facebook,DATEV eG,"The error-checking feature caught a mistake I made, which saved me money. There were too many upsell pop-ups, which was annoying. (Unique ID: 81adafde-7882-4e63-9c18-e44a9ef18312)",Germany
Facebook,QuickBooks,I was able to maximize my return thanks to the comprehensive step-by-step guidance. The software was glitchy and crashed twice during my filing process. (Unique ID: 92e882c2-257c-46f3-8e06-5241c96e36ce),Spain
Facebook,Lohnsteuer Kompakt,"I was able to maximize my return thanks to the comprehensive step-by-step guidance. Customer service was not very responsive, which made it frustrating. (Unique ID: 450b413f-1d87-49f7-a9aa-3cd75aa0ec02)",Germany
Facebook,IRIS Software Group Ltd,"This software made filing taxes so much easier for me this year. The interface was not intuitive, and it took me a while to figure out where everything was. (Unique ID: cbabc666-0791-414d-ae87-cbc7f01b6b93)",United Kingdom
Facebook,Zasta,"It handled my freelance income quite well, making deductions a breeze. The software was glitchy and crashed twice during my filing process. (Unique ID: edfa499a-1046-4a3e-977f-1305fc4f5bc8)",Germany
Facebook,FreeAgent,"This software made filing taxes so much easier for me this year. There were too many upsell pop-ups, which was annoying. (Unique ID: fba3f03a-7174-4acc-94a7-f64af9c44711)",United Kingdom
Facebook,EZTaxReturn,"I love how user-friendly the interface is, and the process was seamless. I found the pricing a bit too steep for what it offered. (Unique ID: c85aa704-ff5e-477b-8a3f-ef1d635f7150)",USA
Facebook,Contasol,"This software made filing taxes so much easier for me this year. Customer service was not very responsive, which made it frustrating. (Unique ID: c32bad48-4726-4162-8916-0e5a9cf5fb91)",Spain
Facebook,Taxando,This software made filing taxes so much easier for me this year. The help articles were outdated and didn't match the current interface. (Unique ID: b1986857-17c9-4054-bfaf-632658edc601),Germany
Facebook,Nomisma,"Great experience overall, would definitely recommend this to anyone filing taxes! The software was glitchy and crashed twice during my filing process. (Unique ID: c7e4e2e1-afa5-48b7-8cd5-2f6444e1aa1c)",United Kingdom
Facebook,Taxando,"The auto-fill feature for my previous returns saved a lot of hassle. Customer service was not very responsive, which made it frustrating. (Unique ID: 51be00f0-c021-467f-b081-0dd318040a12)",Germany
Facebook,Wundertax,"It integrates very well with my bookkeeping software, saving me a lot of time. I encountered a bug that kept me from completing my filing until I restarted. (Unique ID: 0d297dd2-30e6-4e32-9407-bd3004545a30)",Germany
Facebook,Accountable,This software made filing taxes so much easier for me this year. I found the pricing a bit too steep for what it offered. (Unique ID: c3959bc4-e62c-4fb9-9ad0-585a20be464f),Germany
Facebook,Jackson Hewitt Online,"It handled my freelance income quite well, making deductions a breeze. I had issues with the mobile app not syncing properly with my desktop progress. (Unique ID: 8d65a105-b244-40c1-a719-1d8e1979d1d0)",USA
Facebook,H&R Block,I was able to maximize my return thanks to the comprehensive step-by-step guidance. I encountered a bug that kept me from completing my filing until I restarted. (Unique ID: e0a8fef3-42c5-4c44-8101-ceb8a53157e6),USA
Facebook,Taxfix,"The pricing is reasonable for the amount of features offered, and it was worth it. I found the pricing a bit too steep for what it offered. (Unique ID: 2e0fdb01-ff27-4ddd-ae76-c148b6e0beef)",Germany
Facebook,FreeTaxUSA,"Great experience overall, would definitely recommend this to anyone filing taxes! There were too many upsell pop-ups, which was annoying. (Unique ID: 93f8a290-cf93-476a-8fff-7ad6abba883c)",USA
Facebook,TaxAct,"The pricing is reasonable for the amount of features offered, and it was worth it. I encountered a bug that kept me from completing my filing until I restarted. (Unique ID: b6c95a6c-d70c-4079-8a5f-cbdc4c71696e)",USA
Facebook,TaxSlayer,"The pricing is reasonable for the amount of features offered, and it was worth it. It didn't support rental income reporting very well, and I had to manually add entries. (Unique ID: 9ccf92b9-aceb-47a3-ba85-e26b41645e93)",USA
Facebook,TaxAct,"The support team was really helpful when I had questions about deductions. I was unable to import my bank statements, which would have made things much easier. (Unique ID: cd5fd9e5-cb1e-4966-acce-403afaf0476a)",USA
Facebook,Aplifisa,"The error-checking feature caught a mistake I made, which saved me money. The software was glitchy and crashed twice during my filing process. (Unique ID: 3cfe245b-5a1a-4148-b955-7361cf7a643e)",Spain
Facebook,Steuertipps,The auto-fill feature for my previous returns saved a lot of hassle. I found the pricing a bit too steep for what it offered. (Unique ID: 7258a6aa-76e3-4834-b8c6-ede24d57886a),Germany
Facebook,TaxScouts,"The error-checking feature caught a mistake I made, which saved me money. The help articles were outdated and didn't match the current interface. (Unique ID: 06ab6592-a6c4-465c-849a-c00c4c42694e)",United Kingdom
Facebook,Nomisma,"The support team was really helpful when I had questions about deductions. There were too many upsell pop-ups, which was annoying. (Unique ID: 1bf94bf6-d407-4c36-a33c-9c37be51269e)",United Kingdom
Facebook,Liberty Tax,"The error-checking feature caught a mistake I made, which saved me money. I encountered a bug that kept me from completing my filing until I restarted. (Unique ID: 9e320244-0690-469f-8930-d23f4fc0a6b3)",USA
Facebook,Anfix,"I was able to maximize my return thanks to the comprehensive step-by-step guidance. There were too many upsell pop-ups, which was annoying. (Unique ID: 10157e4e-e954-48dc-8f69-ffa16fa69d24)",Spain
